Date,Time,Year,EF Scale,Path Length (in miles),Width (in feet),Injury,Fatality,Property Damage,Crops Damage,commnets,Link,month,Decade
1958-02-26 00:00:00,23:10 ,1958,EF3,0.1,7.0,0,0,250000,0,,"Feb. 26, 1958 23:10 PM CST",2,1950s
1959-01-21 00:00:00,9:40 ,1959,EF2,4.1,500.0,3,0,250000,0,,"Jan. 21, 1959 09:40 AM CST",1,1950s
1959-03-26 00:00:00,18:10 ,1959,EF3,19.5,440.0,0,0,250000,0,,"Mar. 26, 1959 18:10 PM CST",3,1950s
1959-09-26 00:00:00,19:05 ,1959,EF3,23.7,667.0,7,0,250000,0,,"Sep. 26, 1959 19:05 PM CDT",9,1950s
1960-03-30 00:00:00,1:00 ,1960,EF2,8.2,33.0,1,0,25000,0,,"Mar. 30, 1960 01:00 AM CST",3,1960s
1960-08-17 00:00:00,15:00 ,1960,EF1,0.1,7.0,0,0,25000,0,,"Aug. 17, 1960 15:00 PM CDT",8,1960s
1961-03-13 00:00:00,16:40 ,1961,EF3,9.3,250.0,0,0,250000,0,,"Mar. 13, 1961 16:40 PM CST",3,1960s
1961-04-25 00:00:00,18:15 ,1961,EF2,9.4,187.0,2,0,25000,0,,"Apr. 25, 1961 18:15 PM CST",4,1960s
1961-05-08 00:00:00,17:21 ,1961,EF2,17.2,300.0,0,0,250000,0,,"May. 08, 1961 17:21 PM CDT",5,1960s
1962-02-23 00:00:00,15:00 ,1962,EF1,14.0,300.0,0,0,250000,0,,"Feb. 23, 1962 15:00 PM CST",2,1960s
1963-01-10 00:00:00,23:55 ,1963,EF3,1.3,400.0,4,0,2500000,0,,"Jan. 10, 1963 23:55 PM CST",1,1960s
1963-03-11 00:00:00,15:10 ,1963,EF2,10.3,300.0,1,0,250000,0,,"Mar. 11, 1963 15:10 PM CST",3,1960s
1963-03-11 00:00:00,16:20 ,1963,EF2,2.0,100.0,0,0,25000,0,,"Mar. 11, 1963 16:20 PM CST",3,1960s
1963-03-11 00:00:00,17:30 ,1963,EF2,21.4,100.0,1,0,250000,0,,"Mar. 11, 1963 17:30 PM CST",3,1960s
1963-03-11 00:00:00,18:00 ,1963,EF2,5.2,100.0,0,0,250000,0,,"Mar. 11, 1963 18:00 PM CST",3,1960s
1963-03-11 00:00:00,19:00 ,1963,EF2,14.7,200.0,6,0,250000,0,,"Mar. 11, 1963 19:00 PM CST",3,1960s
1963-03-11 00:00:00,21:00 ,1963,EF2,6.2,200.0,1,1,250000,0,,"Mar. 11, 1963 21:00 PM CST",3,1960s
1963-03-19 00:00:00,12:40 ,1963,EF2,14.0,1000.0,0,0,250000,0,,"Mar. 19, 1963 12:40 PM CST",3,1960s
1963-03-19 00:00:00,18:15 ,1963,EF2,3.3,150.0,3,0,250000,0,,"Mar. 19, 1963 18:15 PM CST",3,1960s
1963-03-19 00:00:00,18:30 ,1963,EF2,3.6,200.0,1,0,25000,0,,"Mar. 19, 1963 18:30 PM CST",3,1960s
1963-04-29 00:00:00,18:10 ,1963,EF3,9.3,300.0,6,3,250000,0,,"Apr. 29, 1963 18:10 PM CDT",4,1960s
1963-04-29 00:00:00,22:00 ,1963,EF2,5.1,50.0,0,0,25000,0,,"Apr. 29, 1963 22:00 PM CDT",4,1960s
1964-03-04 00:00:00,10:00 ,1964,EF2,7.6,200.0,3,0,25000,0,,"Mar. 04, 1964 10:00 AM CST",3,1960s
1964-03-04 00:00:00,10:30 ,1964,EF2,6.8,200.0,3,0,25000,0,,"Mar. 04, 1964 10:30 AM CST",3,1960s
